PID,Item,Perspective,Danger,Owning,Familiar,ATI,CookingFrequency,CookingAlone,CookingTogether,CookingExpertise
PID_0,Cheese Cleaver,Self,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Cheese Cleaver,Other,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Cheese Cleaver,Robot,19,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Mezzaluna,Self,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Mezzaluna,Other,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Mezzaluna,Robot,12,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Container,Self,36,Yes,75,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Container,Other,0,Yes,75,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Container,Robot,0,Yes,75,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Scouring Sponge,Self,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Scouring Sponge,Other,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Scouring Sponge,Robot,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Peeler,Self,1,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Peeler,Other,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Peeler,Robot,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Piping Bag,Self,1,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Piping Bag,Other,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Piping Bag,Robot,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Spatula,Self,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Spatula,Other,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Spatula,Robot,0,Yes,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Coffee Dripper,Self,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Coffee Dripper,Other,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Coffee Dripper,Robot,3,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Apron,Self,1,No,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Apron,Other,0,No,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Apron,Robot,0,No,100,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Tea Sieve,Self,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Tea Sieve,Other,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_0,Tea Sieve,Robot,0,No,0,3.7777777777777777,5.0,5.0,2.0,64.0
PID_1,Scouring Sponge,Self,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Scouring Sponge,Other,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Scouring Sponge,Robot,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Ramekin,Self,0,No,23,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Ramekin,Other,0,No,23,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Ramekin,Robot,7,No,23,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Plate,Self,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Plate,Other,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Plate,Robot,6,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Perforated Spoon,Self,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Perforated Spoon,Other,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Perforated Spoon,Robot,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Dish Cloth,Self,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Dish Cloth,Other,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
PID_1,Dish Cloth,Robot,0,Yes,100,4.555555555555555,7.0,7.0,0.0,68.0
