PID,ContinentOfResidence,Item,ItemImage,Self_Owning,Self_Familiar,Danger_Self,Danger_Other,Danger_Robot,Self_Danger_Time,Other_Danger_Time,Robot_Danger_Time
PID_0,Europe,Cheese Cleaver,cheesecleaver-01.jpg,No,0,0,0,19,9.326,6.376,5.053
PID_0,Europe,Mezzaluna,mezzaluna-01.jpg,No,0,0,0,12,8.152,2.531,4.633
PID_0,Europe,Container,container-01.jpg,Yes,75,36,0,0,8.278,2.942,2.834
PID_0,Europe,Scouring Sponge,scouringsponge-01.jpg,Yes,100,0,0,0,9.243,3.195,2.517
PID_0,Europe,Peeler,peeler-01.jpg,Yes,100,1,0,0,6.233,2.902,2.735
PID_0,Europe,Piping Bag,pipingbag-01.jpg,Yes,100,1,0,0,6.718,3.035,3.581
PID_0,Europe,Spatula,spatula-01.jpg,Yes,100,0,0,0,5.471,3.188,2.231
PID_0,Europe,Coffee Dripper,coffeedripper-01.jpg,No,0,0,0,3,7.378,3.141,2.571
PID_0,Europe,Apron,apron-01.jpg,No,100,1,0,0,9.74,2.459,3.35
PID_0,Europe,Tea Sieve,teasieve-01.jpg,No,0,0,0,0,10.78,2.584,3.536
PID_1,Europe,Scouring Sponge,scouringsponge-01.jpg,Yes,100,0,0,0,10.645,4.129,3.466
PID_1,Europe,Ramekin,ramekin-01.jpg,No,23,0,0,7,9.026,2.351,2.687
PID_1,Europe,Plate,plate-01.jpg,Yes,100,0,0,6,7.636,5.472,2.575
PID_1,Europe,Perforated Spoon,perforatedspoon-01.jpg,Yes,100,0,0,0,5.784,2.588,3.532
PID_1,Europe,Dish Cloth,dishcloth-01.jpg,Yes,100,0,0,0,6.679,2.286,2.128
PID_1,Europe,Aluminum Foil,aluminumfoil-01.jpg,Yes,100,0,0,0,9.863,2.528,2.479
PID_1,Europe,Jug,jug-01.jpg,Yes,100,0,0,5,7.089,2.223,3.521
PID_1,Europe,Grater,grater-01.jpg,Yes,100,0,0,0,8.912,2.962,3.593
PID_1,Europe,Potato Masher,potatomasher-01.jpg,Yes,100,0,0,0,6.825,3.762,2.645
PID_1,Europe,Canister,canister-01.jpg,No,67,24,12,3,6.263,2.71,2.877
PID_2,Europe,Muffin Tray,muffintray-01.jpg,Yes,76,12,0,10,12.395,8.777,3.886
PID_2,Europe,Shaker,shaker-01.jpg,Yes,99,2,0,3,8.224,2.479,2.585
PID_2,Europe,Plate,plate-01.jpg,Yes,100,18,20,41,6.165,3.913,3.997
PID_2,Europe,Scissors,scissors-01.jpg,Yes,100,44,42,72,7.359,4.817,2.752
PID_2,Europe,Trash Can,trashcan-01.jpg,Yes,100,0,2,6,5.823,2.398,3.549
PID_2,Europe,Mixing Bowl,mixingbowl-01.jpg,Yes,90,1,1,2,7.119,3.08,3.653
PID_2,Europe,Piping Syringe,pipingsyringe-01.jpg,No,11,15,7,20,15.099,3.805,3.3
PID_2,Europe,Ladle,ladle-01.jpg,Yes,100,0,0,5,6.216,2.217,3.567
PID_2,Europe,Spatula,spatula-01.jpg,Yes,100,0,0,0,5.512,4.672,3.407
PID_2,Europe,Mug,mug-01.jpg,Yes,100,17,42,54,4.873,2.932,3.813
PID_3,Europe,Mill,mill-01.jpg,No,0,27,0,0,19.901,7.016,4.114
PID_3,Europe,Tea Sieve,teasieve-01.jpg,No,100,0,0,0,11.001,2.22,2.2
PID_3,Europe,Pressure Cooker,pressurecooker-01.jpg,No,100,18,0,0,7.364,1.601,2.185
PID_3,Europe,Container,container-01.jpg,Yes,100,0,0,0,7.717,2.819,1.792
PID_3,Europe,Deep Fryer,deepfryer-01.jpg,Yes,100,0,0,0,7.473,2.236,1.901
PID_3,Europe,Muffin Tray,muffintray-01.jpg,Yes,100,0,0,0,5.951,1.9,1.786
PID_3,Europe,Egg Slicer,eggslicer-01.jpg,Yes,100,0,0,0,5.411,2.969,2.239
PID_3,Europe,Soup Plate,soupplate-01.jpg,Yes,100,0,0,0,5.212,2.304,3.205
PID_3,Europe,Teapot,teapot-01.jpg,Yes,100,0,0,0,6.097,2.617,2.384
PID_3,Europe,Chopper,chopper-01.jpg,Yes,100,0,0,0,4.747,1.972,2.171
PID_4,Europe,Scissors,scissors-01.jpg,Yes,87,30,71,71,17.825,10.381,7.293
PID_4,Europe,Kitchen Paper,kitchenpaper-01.jpg,Yes,95,0,0,0,8.473,6.239,8.126
PID_4,Europe,Pitter,pitter-01.jpg,No,20,11,29,10,13.126,8.032,3.53
PID_4,Europe,Chopsticks,chopsticks-01.jpg,Yes,79,0,0,16,14.796,5.04,6.479
